epoch,temperature
1551398400,21.50
1551402000,21.40
1551405600,21.30
1551409200,21.34
1551412800,21.20
1551416400,21.21
1551420000,22.40
1551423600,22.25
1551427200,22.15
1551430800,21.92
1551434400,21.84
1551438000,22.09
1551441600,23.05
1551445200,22.63
1551448800,22.43
1551452400,22.12
1551456000,22.08
1551459600,22.00
1551463200,22.01
1551466800,22.02
1551470400,22.02
1551474000,22.03
1551477600,21.99
1551481200,21.73
1551484800,21.56
1551488400,21.36
1551492000,21.22
1551495600,21.04
1551499200,20.86
1551502800,20.91
1551506400,21.66
1551510000,21.89
1551513600,22.07
1551517200,21.99
1551520800,21.88
1551524400,21.95
1551528000,22.74
1551531600,22.75
1551535200,23.42
1551538800,23.64
1551542400,23.29
1551546000,22.69
1551549600,22.50
1551553200,22.39
1551556800,22.36
1551560400,22.29
1551564000,22.12
1551567600,22.01
1551571200,21.78
1551574800,21.54
1551578400,21.29
1551582000,21.09
1551585600,20.95
1551589200,21.07
1551592800,22.31
1551596400,22.29
1551600000,22.31
1551603600,22.20
1551607200,22.11
1551610800,22.16
1551614400,23.36
1551618000,23.38
1551621600,23.63
1551625200,23.71
1551628800,23.50
1551632400,23.15
1551636000,22.97
1551639600,22.95
1551643200,22.89
1551646800,22.85
1551650400,22.79
1551654000,22.73
1551657600,22.42
1551661200,22.09
1551664800,21.79
1551668400,21.59
1551672000,21.34
1551675600,21.45
1551679200,22.93
1551682800,23.20
1551686400,23.40
1551690000,23.21
1551693600,23.06
1551697200,23.06
1551700800,23.71
1551704400,23.39
1551708000,23.27
1551711600,23.39
1551715200,23.02
1551718800,22.63
1551722400,22.43
1551726000,22.26
1551729600,22.29
1551733200,22.32
1551736800,22.20
1551740400,22.08
1551744000,21.95
1551747600,21.80
1551751200,21.60
1551754800,21.41
1551758400,21.25
1551762000,21.37
1551765600,22.48
1551769200,22.45
1551772800,22.23
1551776400,22.13
1551780000,22.10
1551783600,22.31
1551787200,22.98
1551790800,22.96
1551794400,22.92
1551798000,22.55
1551801600,22.25
1551805200,22.07
1551808800,21.96
1551812400,21.91
1551816000,21.98
1551819600,22.01
1551823200,21.88
1551826800,21.71
1551830400,21.53
1551834000,21.35
1551837600,21.19
1551841200,21.03
1551844800,20.88
1551848400,20.96
1551852000,21.76
1551855600,21.72
1551859200,21.72
